净值日期,Unnamed: 0,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2009-07-21,26,1.551,3.232,-1.4,开放申购,开放赎回,
2009-07-22,25,1.567,3.248,1.03,开放申购,开放赎回,
2009-07-23,24,1.587,3.268,1.28,开放申购,开放赎回,
2009-07-24,23,1.591,3.272,0.25,开放申购,开放赎回,
2009-07-27,22,1.611,3.292,1.26,开放申购,开放赎回,
2009-07-28,21,1.606,3.287,-0.31,开放申购,开放赎回,
2009-07-29,20,1.543,3.224,-3.92,开放申购,开放赎回,
2009-07-30,19,1.564,3.245,1.36,开放申购,开放赎回,
2009-07-31,18,1.602,3.283,2.43,开放申购,开放赎回,
2009-08-03,17,1.614,3.295,0.75,开放申购,开放赎回,
2009-08-04,16,1.616,3.297,0.12,开放申购,开放赎回,
2009-08-05,15,1.6,3.281,-0.99,开放申购,开放赎回,
2009-08-06,14,1.5759999999999998,3.257,-1.5,开放申购,开放赎回,
2009-08-07,13,1.526,3.207,-3.17,开放申购,开放赎回,
2009-08-10,12,1.526,3.207,0.0,开放申购,开放赎回,
2009-08-11,11,1.529,3.21,0.2,开放申购,开放赎回,
2009-08-12,10,1.48,3.161,-3.2,开放申购,开放赎回,
2009-08-13,9,1.499,3.18,1.28,开放申购,开放赎回,
2009-08-14,8,1.475,3.156,-1.6,开放申购,开放赎回,
2009-08-17,7,1.39,3.071,-5.76,开放申购,开放赎回,
2009-08-18,6,1.404,3.085,1.01,开放申购,开放赎回,
2009-08-19,5,1.341,3.022,-4.49,开放申购,开放赎回,
2009-08-20,4,1.3869999999999998,3.068,3.43,开放申购,开放赎回,
2009-08-21,3,1.409,3.09,1.59,开放申购,开放赎回,
2009-08-24,2,1.4240000000000002,3.105,1.06,开放申购,开放赎回,
2009-08-25,1,1.383,3.064,-2.88,开放申购,开放赎回,
2009-08-26,0,1.408,3.089,1.81,开放申购,开放赎回,
2009-08-27,39,1.3969999999999998,3.0780000000000003,-0.78,开放申购,开放赎回,
2009-08-28,38,1.355,3.036,-3.01,开放申购,开放赎回,
2009-08-31,37,1.272,2.9530000000000003,-6.13,开放申购,开放赎回,
2009-09-01,36,1.275,2.9560000000000004,0.24,开放申购,开放赎回,
2009-09-02,35,1.293,2.974,1.41,开放申购,开放赎回,
2009-09-03,34,1.349,3.03,4.33,开放申购,开放赎回,
2009-09-04,33,1.3630000000000002,3.044,1.04,开放申购,开放赎回,
2009-09-07,32,1.368,3.049,0.37,开放申购,开放赎回,
2009-09-08,31,1.3969999999999998,3.0780000000000003,2.12,开放申购,开放赎回,
2009-09-09,30,1.4069999999999998,3.088,0.72,开放申购,开放赎回,
2009-09-10,29,1.3969999999999998,3.0780000000000003,-0.71,开放申购,开放赎回,
2009-09-11,28,1.4240000000000002,3.105,1.93,开放申购,开放赎回,
2009-09-14,27,1.444,3.125,1.4,开放申购,开放赎回,
2009-09-15,26,1.445,3.1260000000000003,0.07,开放申购,开放赎回,
2009-09-16,25,1.4269999999999998,3.108,-1.25,开放申购,开放赎回,
2009-09-17,24,1.444,3.125,1.19,开放申购,开放赎回,
2009-09-18,23,1.409,3.09,-2.42,开放申购,开放赎回,
2009-09-21,22,1.421,3.102,0.85,开放申购,开放赎回,
2009-09-22,21,1.4,3.0810000000000004,-1.48,开放申购,开放赎回,
2009-09-23,20,1.37,3.051,-2.14,开放申购,开放赎回,
2009-09-24,19,1.378,3.059,0.58,开放申购,开放赎回,
2009-09-25,18,1.369,3.05,-0.65,开放申购,开放赎回,
2009-09-28,17,1.3430000000000002,3.024,-1.9,开放申购,开放赎回,
2009-09-29,16,1.351,3.032,0.6,开放申购,开放赎回,
2009-09-30,15,1.36,3.0410000000000004,0.67,开放申购,开放赎回,
2009-10-09,14,1.409,3.09,3.6,开放申购,开放赎回,
2009-10-12,13,1.413,3.094,0.28,开放申购,开放赎回,
2009-10-13,12,1.432,3.113,1.34,开放申购,开放赎回,
2009-10-14,11,1.4409999999999998,3.122,0.63,开放申购,开放赎回,
2009-10-15,10,1.445,3.1260000000000003,0.28,开放申购,开放赎回,
2009-10-16,9,1.444,3.125,-0.07,开放申购,开放赎回,
2009-10-19,8,1.4780000000000002,3.159,2.35,开放申购,开放赎回,
2009-10-20,7,1.494,3.175,1.08,开放申购,开放赎回,
2009-10-21,6,1.4880000000000002,3.169,-0.4,开放申购,开放赎回,
2009-10-22,5,1.483,3.164,-0.34,开放申购,开放赎回,
2009-10-23,4,1.503,3.184,1.35,开放申购,开放赎回,
2009-10-26,3,1.505,3.1860000000000004,0.13,开放申购,开放赎回,
2009-10-27,2,1.473,3.154,-2.13,开放申购,开放赎回,
2009-10-28,1,1.48,3.161,0.48,开放申购,开放赎回,
2009-10-29,0,1.456,3.137,-1.62,开放申购,开放赎回,
2009-10-30,39,1.469,3.15,0.89,开放申购,开放赎回,
2009-11-02,38,1.514,3.195,3.06,开放申购,开放赎回,
2009-11-03,37,1.529,3.21,0.99,开放申购,开放赎回,
2009-11-04,36,1.529,3.21,0.0,开放申购,开放赎回,
2009-11-05,35,1.535,3.216,0.39,开放申购,开放赎回,
2009-11-06,34,1.546,3.227,0.72,开放申购,开放赎回,
2009-11-09,33,1.547,3.228,0.06,开放申购,开放赎回,
2009-11-10,32,1.5519999999999998,3.233,0.32,开放申购,开放赎回,
2009-11-11,31,1.551,3.232,-0.06,开放申购,开放赎回,
2009-11-12,30,1.5530000000000002,3.234,0.13,开放申购,开放赎回,
2009-11-13,29,1.56,3.241,0.45,开放申购,开放赎回,
2009-11-16,28,1.594,3.275,2.18,开放申购,开放赎回,
2009-11-17,27,1.596,3.277,0.13,开放申购,开放赎回,
2009-11-18,26,1.5930000000000002,3.274,-0.19,开放申购,开放赎回,
2009-11-19,25,1.596,3.277,0.19,开放申购,开放赎回,
2009-11-20,24,1.596,3.277,0.0,开放申购,开放赎回,
2009-11-23,23,1.61,3.2910000000000004,0.88,开放申购,开放赎回,
2009-11-24,22,1.5659999999999998,3.247,-2.73,开放申购,开放赎回,
2009-11-25,21,1.598,3.279,2.04,开放申购,开放赎回,
2009-11-26,20,1.556,3.237,-2.63,开放申购,开放赎回,
2009-11-27,19,1.525,3.2060000000000004,-1.99,开放申购,开放赎回,
2009-11-30,18,1.5759999999999998,3.257,3.34,开放申购,开放赎回,
2009-12-01,17,1.596,3.277,1.27,开放申购,开放赎回,
2009-12-02,16,1.6130000000000002,3.294,1.07,开放申购,开放赎回,
2009-12-03,15,1.61,3.2910000000000004,-0.19,开放申购,开放赎回,
2009-12-04,14,1.596,3.277,-0.87,开放申购,开放赎回,
2009-12-07,13,1.607,3.2880000000000003,0.69,开放申购,开放赎回,
2009-12-08,12,1.604,3.285,-0.19,开放申购,开放赎回,
2009-12-09,11,1.5830000000000002,3.264,-1.31,开放申购,开放赎回,
2009-12-10,10,1.591,3.272,0.51,开放申购,开放赎回,
2009-12-11,9,1.592,3.273,0.06,开放申购,开放赎回,
2009-12-14,8,1.589,3.27,-0.19,开放申购,开放赎回,
2009-12-15,7,1.582,3.263,-0.44,开放申购,开放赎回,
2009-12-16,6,1.579,3.26,-0.19,开放申购,开放赎回,
2009-12-17,5,1.544,3.225,-2.22,开放申购,开放赎回,
2009-12-18,4,1.506,3.187,-2.46,开放申购,开放赎回,
2009-12-21,3,1.5119999999999998,3.193,0.4,开放申购,开放赎回,
